"2021-10-31","10001 QQQ","Chateau Nouveau Condo",160000,"1.00","1.00","876.00","183.00"
"2020-10-23","10032 Sable Point St","Beacon Hill At Mountains Edge",335000,"3.00","3.00","1825.00","184.00"
"2020-10-21","10036 Long Barrow Ct","Sedona 1 At Southwest Ranch Phase 2",382500,"2.00","2.00","1772.00","216.00"
